run_accession	sample_alias	fastq_bytes
ERR6131690	E-MTAB-10615:Sample 1	2216624737;4880590320
ERR6131691	E-MTAB-10615:Sample 1	2231550547;4919129209
ERR6131694	E-MTAB-10615:Sample 1	1501087747;3308313413
ERR6131699	E-MTAB-10615:Sample 2	2093216645;4784668988
ERR6131701	E-MTAB-10615:Sample 2	2219614772;5082372821
ERR6131707	E-MTAB-10615:Sample 3	913420418;2030740615
ERR6131708	E-MTAB-10615:Sample 3	562391752;1241864246
ERR6131712	E-MTAB-10615:Sample 4	1224281005;2635726948
ERR6131713	E-MTAB-10615:Sample 4	1229559491;2649953536
ERR6131715	E-MTAB-10615:Sample 4	1141168917;2480270753
ERR6131718	E-MTAB-10615:Sample 4	519748207;1114734327
ERR6131721	E-MTAB-10615:Sample 5	1511905260;3304355452
ERR6131723	E-MTAB-10615:Sample 5	1068738038;2318707107
ERR6131724	E-MTAB-10615:Sample 5	1211800359;2632286796
ERR6131725	E-MTAB-10615:Sample 5	1220492203;2653807764
ERR6131728	E-MTAB-10615:Sample 6	1759274670;3916387424
ERR6131732	E-MTAB-10615:Sample 6	1406146292;3073176895
ERR6131733	E-MTAB-10615:Sample 6	1414277097;3094484715
ERR6131734	E-MTAB-10615:Sample 6	921696356;2010969695
ERR6131739	E-MTAB-10615:Sample 7	1473083589;3251645912
ERR6131742	E-MTAB-10615:Sample 7	992283734;2172095612
ERR6131743	E-MTAB-10615:Sample 7	1000236356;2191585055
ERR6131744	E-MTAB-10615:Sample 8	1771020419;3940833411
ERR6131748	E-MTAB-10615:Sample 8	1313271073;2923113219
ERR6131693	E-MTAB-10615:Sample 1	24815959;52062214
ERR6131696	E-MTAB-10615:Sample 2	1981684616;4567440479
ERR6131697	E-MTAB-10615:Sample 2	1999118557;4612973808
ERR6131702	E-MTAB-10615:Sample 2	1652201288;3752424490
ERR6131704	E-MTAB-10615:Sample 3	897329861;1964501744
ERR6131710	E-MTAB-10615:Sample 3	910273157;2023372304
ERR6131719	E-MTAB-10615:Sample 4	521670823;1120132702
ERR6131722	E-MTAB-10615:Sample 5	1062011049;2301621534
ERR6131726	E-MTAB-10615:Sample 5	900008026;1970036200
ERR6131727	E-MTAB-10615:Sample 5	906916048;1987103498
ERR6131729	E-MTAB-10615:Sample 6	1768812876;3942001082
ERR6131731	E-MTAB-10615:Sample 6	1336722013;2961581543
ERR6131737	E-MTAB-10615:Sample 7	1483384137;3231966478
ERR6131738	E-MTAB-10615:Sample 7	1461094951;3221521910
ERR6131740	E-MTAB-10615:Sample 7	1262773150;2812600158
ERR6131741	E-MTAB-10615:Sample 7	1272256525;2836823032
ERR6131746	E-MTAB-10615:Sample 8	1420207871;3147866288
ERR6131747	E-MTAB-10615:Sample 8	1430345317;3173734063
ERR6131749	E-MTAB-10615:Sample 8	1323466579;2949091803
ERR6131750	E-MTAB-10615:Sample 8	1098784961;2480459164
ERR6131751	E-MTAB-10615:Sample 8	1106049740;2500417807
ERR6131692	E-MTAB-10615:Sample 1	24608542;51554009
ERR6131695	E-MTAB-10615:Sample 1	1510955140;3333768618
ERR6131698	E-MTAB-10615:Sample 2	2076824027;4742620417
ERR6131700	E-MTAB-10615:Sample 2	2202859978;5037966230
ERR6131703	E-MTAB-10615:Sample 2	1664251787;3784431620
ERR6131705	E-MTAB-10615:Sample 3	902829320;1978539069
ERR6131706	E-MTAB-10615:Sample 3	908148535;2016880879
ERR6131709	E-MTAB-10615:Sample 3	566201570;1251843878
ERR6131711	E-MTAB-10615:Sample 3	915444375;2037079731
ERR6131714	E-MTAB-10615:Sample 4	1136462912;2467710314
ERR6131716	E-MTAB-10615:Sample 4	1181374381;2544744707
ERR6131717	E-MTAB-10615:Sample 4	1186232627;2557311410
ERR6131720	E-MTAB-10615:Sample 5	1500975748;3277540898
ERR6131730	E-MTAB-10615:Sample 6	1327584183;2938349750
ERR6131735	E-MTAB-10615:Sample 6	928342986;2027647167
ERR6131736	E-MTAB-10615:Sample 7	1472286261;3204451321
ERR6131745	E-MTAB-10615:Sample 8	1784552544;3975249286
